CityName,VehicleTypeId,Description,Year,Month,Count,Amount
Surat,1,MOPED/SCOOTER                                ,1989,4,2,293
Surat,1,MOPED/SCOOTER                                ,1989,7,1,162
Surat,1,MOPED/SCOOTER                                ,1989,8,1,144
Surat,1,MOPED/SCOOTER                                ,1989,10,1,144
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1989,12,1,216
Surat,1,MOPED/SCOOTER                                ,1990,4,1,126
Surat,2,MOTOR CYCLE                                  ,1990,4,1,277
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1991,2,2,2714
Surat,1,MOPED/SCOOTER                                ,1991,4,1,601
Surat,2,MOTOR CYCLE                                  ,1994,3,1,27
Surat,1,MOPED/SCOOTER                                ,1995,3,1,72
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1996,5,1,890
Surat,1,MOPED/SCOOTER                                ,1997,1,2,0
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1997,1,1,216
Surat,2,MOTOR CYCLE                                  ,1997,2,1,180
Surat,2,MOTOR CYCLE                                  ,1997,3,1,63
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1997,3,2,144
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,1997,3,2,1995
Surat,21,TEMPO,1997,3,7,2062
Surat,1,MOPED/SCOOTER                                ,1997,4,312,21230
Surat,2,MOTOR CYCLE                                  ,1997,4,105,7022
Surat,3,AUTO RICKSHAW,1997,4,24,1861
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1997,4,100,13076
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1997,4,8,2606
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1997,4,3,1590
Surat,21,TEMPO,1997,4,9,1734
Surat,1,MOPED/SCOOTER                                ,1997,5,273,23720
Surat,2,MOTOR CYCLE                                  ,1997,5,94,5730
Surat,3,AUTO RICKSHAW,1997,5,8,696
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1997,5,55,7396
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1997,5,6,2346
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1997,5,3,540
Surat,21,TEMPO,1997,5,6,938
Surat,1,MOPED/SCOOTER                                ,1997,0,110,
Surat,2,MOTOR CYCLE                                  ,1997,6,36,3045
Surat,3,AUTO RICKSHAW,1997,6,5,1294
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1997,6,20,1849
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1997,6,3,1050
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1997,6,1,180
Surat,21,TEMPO,1997,6,3,468
Surat,1,MOPED/SCOOTER                                ,1997,7,77,6326
Surat,2,MOTOR CYCLE                                  ,1997,7,20,2805
Surat,3,AUTO RICKSHAW,1997,7,9,529
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1997,7,16,3145
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1997,7,1,180
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1997,7,1,720
Surat,21,TEMPO,1997,7,0,1206
Surat,1,MOPED/SCOOTER                                ,1997,8,243,41087
Surat,2,,1997,8,85,13019
Surat,3,AUTO RICKSHAW,1997,8,4,144
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1997,8,56,5530
Surat,7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,1997,8,3,540
Surat,21,TEMPO,1997,8,2,108
Surat,1,MOPED/SCOOTER                                ,1997,9,1164,193636
Surat,2,MOTOR CYCLE                                  ,1997,9,356,58036.36
Surat,3,AUTO RICKSHAW,1997,9,2,546
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,0,9,69,15492
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1997,9,2,288
Surat,21,TEMPO,1997,9,4,324
Surat,1,MOPED/SCOOTER                                ,1997,10,750,114669
Surat,2,MOTOR CYCLE                                  ,1997,10,218,33348
Surat,3,AUTO RICKSHAW,1997,10,2,318
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1997,10,633,176239.72
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1997,10,5,504
Surat,21,TEMPO,1997,10,7,1434
Surat,1,MOPED/SCOOTER                                ,1997,11,459,64536.3
Surat,2,MOTOR CYCLE                                  ,1997,11,143,20834
Surat,3,AUTO RICKSHAW,1997,11,14,1279
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1997,11,94,25205
Surat,7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,1997,11,1,360
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1997,11,29,11833
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1997,11,6,3780
Surat,21,TEMPO,1997,11,5,1053
Surat,1,MOPED/SCOOTER                                ,1997,12,661,88564
